company,client,method,from,to,sample_size,con,lab,ld,ukip,pc,grn,other,pdf
YouGov,ITV/Cardiff Uni,Online,2016-06-30,2016-07-04,,0.23,0.34,0.08,0.16,0.16,0.02,0.01,
YouGov,ITV/Cardiff Uni,Online,2016-09-18,2016-09-21,1001.0,0.29,0.35,0.07,0.14,0.13,0.02,0.0,http://blogs.cardiff.ac.uk/electionsinwales/wp-content/uploads/sites/100/2013/07/Copy-of-WelshBaramoter_September2016_VI_leaders_Labour.pdf
YouGov,ITV/Cardiff Uni,Online,2017-01-03,2017-01-06,1034.0,0.28,0.33,0.09,0.13,0.13,0.02,0.02,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/pezn1602ce/WelshBarometer_January2017_w.pdf
YouGov,ITV/Cardiff Uni,Online,2017-04-19,2017-04-21,1029.0,0.4,0.3,0.08,0.06,0.13,0.02,0.01,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wuxi3zs1qh/WelshBarometerResults_April17_WestminsterVI_W.pdf
ORB Online,Telegraph,Online,2017-04-26,2017-04-27,79.0,0.56,0.32,0.04,0.01,0.06,,0.01,https://www.orb-international.com/perch/resources/orb-results-26th-27th-april-sunday.pdf
ICM Online,Sun,Online,2017-04-26,2017-04-28,75.0,0.46,0.27,0.06,0.1,0.08,0.02,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_sunonsunday_camp_apr28th.pdf
Opinium Online,Observer,Online,2017-04-25,2017-04-28,59.0,0.41,0.29,0.05,0.11,0.13,0.02,0.0,http://opinium.co.uk/wp-content/uploads/2017/04/VI-25-04-2017-Tables.xls
YouGov,Times,Online,2017-04-27,2017-04-28,80.0,0.28,0.35,0.05,0.04,0.16,0.08,0.0,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zebfsayat4/SundayTimesResults_170428_W.pdf
ICM Online,Guardian,Online,2017-04-28,2017-05-01,73.0,0.39,0.41,0.03,0.11,0.06,0.0,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_campaignpoll4_april28-02may.pdf
Kantar TNS,,Online,2017-04-27,2017-05-02,50.0,0.33,0.33,0.06,0.01,0.17,0.11,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20Tables%20and%20Method%20Note%203.5.2017.pdf
Panelbase,,Online,2017-04-28,2017-05-02,35.0,0.48,0.33,0.04,0.03,0.09,0.03,0.0,http://www.panelbase.com/media/polls/W10470w2TablesForPublication020517.pdf
Opinium,Observer,Online,2017-05-02,2017-05-03,55.0,0.53,0.25,0.05,0.09,0.06,0.01,0.02,http://opinium.co.uk/wp-content/uploads/2017/05/VI-02-05-2017-Tables-v1.xls
ICM Online,Sun,Online,2017-05-03,2017-05-05,77.0,0.44,0.41,0.01,0.04,0.08,0.02,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_sunonsunday_campaign_poll2_may7.pdf
Survation,Good Morning Britain,Phone,2017-05-05,2017-05-06,42.0,0.37,0.401,0.0,0.0,0.204,0.0,0.025,http://survation.com/wp-content/uploads/2017/05/Final-GMB-GE2017-Poll-I-050517TOCH-1c0d0h5.pdf
YouGov,ITV/Cardiff Uni,Online,2017-05-05,2017-05-07,1018.0,0.41,0.35,0.07,0.04,0.11,0.01,0.01,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/r0t11owx6f/WelshBarometer_May7th_WestminsterVI.pdf
ICM Online,Guardian,Online,2017-05-05,2017-05-07,73.0,0.44,0.32,0.08,0.09,0.03,0.04,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_poll5_may5-7.pdf
Kantar TNS,,Online,2017-05-04,2017-05-08,54.0,0.36,0.42,0.05,0.04,0.06,0.06,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20data.tables%209.5.17.pdf
Panelbase,,Online,2017-05-05,2017-05-09,39.0,0.5,0.29,0.02,0.0,0.16,0.03,0.0,http://www.panelbase.com/media/polls/W10407w3tablesforpublication090517.pdf
ORB Online,Telegraph,Online,2017-05-10,2017-05-11,74.0,0.33,0.4,0.08,0.01,0.17,,0.02,http://www.orb-international.com/perch/resources/orb-the-telegraph-10-11-may-.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-05-10,2017-05-12,61.0,0.43,0.3,0.1,0.02,0.13,0.03,0.0,http://www.comresglobal.com/wp-content/uploads/2017/05/Independent-Sunday-Mirror_May-2017_5646546.pdf
Opinium,Observer,Online,2017-05-09,2017-05-12,52.0,0.3,0.43,0.05,0.05,0.15,0.02,0.0,http://opinium.co.uk/wp-content/uploads/2017/05/VI-09-05-2017-Tables-FINAL.xlsx
Survation,Good Morning Britain,Phone,2017-05-12,2017-05-13,44.0,0.44,0.316,0.063,0.0,0.156,0.025,0.0,http://survation.com/wp-content/uploads/2017/05/Final-GMB-II-Tables-120517TOCH-1c0d1h6.pdf
ICM Online,Guardian,Online,2017-05-12,2017-05-14,84.0,0.48,0.28,0.13,0.01,0.07,0.04,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_campaign_poll6.pdf
Kantar TNS,,Online,2017-05-11,2017-05-15,45.0,0.37,0.25,0.02,0.14,0.21,0.01,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20-%20Polling%20tables%20-%2016.5.2017_0.pdf
Panelbase,,Online,2017-05-12,2017-05-15,37.0,0.4,0.4,0.03,0.09,0.08,0.0,0.0,http://www.panelbase.com/media/polls/W10470w4tablesforpublication150517.pdf
Opinium,Observer,Online,2017-05-16,2017-05-17,61.0,0.43,0.43,0.06,0.03,0.06,0.0,0.0,http://opinium.co.uk/wp-content/uploads/2017/05/VI-16-05-2017-Tables.xls
ORB Online,Telegraph,Online,2017-05-17,2017-05-18,77.0,0.37,0.44,0.04,0.04,0.11,,0.0,http://www.orb-international.com/perch/resources/voting-intention-19-05-2017-1.pdf
YouGov,Times,Online,2017-05-18,2017-05-19,96.0,0.33,0.38,0.09,0.0,0.16,0.02,0.01,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wvyc3lofp5/SundayTimesResults_170519_VI_W.pdf
Survation,Good Morning Britain,Phone,2017-05-19,2017-05-20,37.0,0.405,0.469,0.046,0.0,0.081,0.0,0.0,http://survation.com/wp-content/uploads/2017/05/Final-GMB-GE2017-III-Tables-190517TOCH-1c0d3h4.pdf
Survation,Mail on Sunday,Online,2017-05-19,2017-05-20,42.0,0.311,0.504,0.0,0.047,0.113,0.025,0.0,http://survation.com/wp-content/uploads/2017/05/Final-MoS-Poll-190517GOCH-1c0d1h7.pdf
Kantar TNS,,Online,2017-05-18,2017-05-21,48.0,0.27,0.41,0.05,0.08,0.2,0.0,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20Polling%20tables%20-%2023.5.2017.pdf
YouGov,ITV/Cardiff Uni,Online,2017-05-18,2017-05-21,1025.0,0.34,0.44,0.06,0.05,0.09,0.01,0.01,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/awbysqsoe6/WelshBarometer_May21st_w.pdf
ICM Online,Guardian,Online,2017-05-19,2017-05-21,78.0,0.34,0.42,0.07,0.1,0.07,0.0,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_poll_campaign7_may17.pdf
Panelbase,Sunday Times,Online,2017-05-19,2017-05-23,51.0,0.44,0.32,0.09,0.04,0.09,0.02,0.0,http://www.panelbase.com/media/polls/W10470w5SundayTimestablesforpublication230517.pdf
Opinium,Observer,Online,2017-05-23,2017-05-24,66.0,0.53,0.3,0.02,0.04,0.11,0.0,0.0,http://opinium.co.uk/wp-content/uploads/2017/05/VI-23-05-2017-Full-Tables.xls
ORB Online,Telegraph,Online,2017-05-24,2017-05-25,70.0,0.4,0.45,0.02,0.02,0.11,,0.01,https://www.orb-international.com/perch/resources/orb-telegraph-26th-may.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-05-24,2017-05-26,63.0,0.41,0.37,0.0,0.05,0.13,0.03,0.02,http://www.comresglobal.com/wp-content/uploads/2017/05/Independent-Sunday-Mirror-VI-26th-May-2017_694814867.pdf
ICM Online,Sun,Online,2017-05-24,2017-05-26,75.0,0.41,0.4,0.04,0.01,0.11,0.03,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2016_sunonsunday_campaignpoll3_publish.pdf
Survation,Good Morning Britain,Phone,2017-05-26,2017-05-27,37.0,0.368,0.418,0.054000000000000006,0.0,0.159,0.0,0.0,http://survation.com/wp-content/uploads/2017/05/Final-GMB-GE2017-IV-Tables-260517TOCH-1c0d0h9.pdf
ICM Online,Guardian,Online,2017-05-26,2017-05-29,82.0,0.27,0.47,0.07,0.04,0.11,0.05,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_poll8_may26-29.pdf
Kantar Public,,Online,2017-05-25,2017-05-30,54.0,0.15,0.4,0.03,0.08,0.11,0.0,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20-%20final%20tables%20-%2031.5.2017.pdf
YouGov,ITV Wales,Online,2017-05-29,2017-05-31,1014.0,0.35,0.46,0.05,0.05,0.08,0.0,0.0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k8bsh35yh0/WelshBarometer_May31st_W.pdf
Opinium,Observer,Online,2017-05-30,2017-05-31,65.0,0.34,0.41,0.08,0.08,0.09,0.0,0.0,http://opinium.co.uk/wp-content/uploads/2017/06/VI-30-05-2017-Full-Tables.xls
Panelbase,,Online,2017-05-26,2017-06-01,44.0,0.34,0.25,0.07,0.09,0.23,0.03,0.0,http://www.panelbase.com/media/polls/W10470w6tablesforpublication010617.pdf
ORB Online,Telegraph,Online,2017-05-31,2017-06-01,103.0,0.47,0.28,0.05,0.05,0.15,,0.0,https://www.orb-international.com/perch/resources/orbtelegraph-jun-2-1.pdf
ICM Online,Sun,Online,2017-05-31,2017-06-02,91.0,0.38,0.35,0.08,0.09,0.06,0.03,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/06/2017_sunonsunday_poll4_final.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-05-31,2017-06-02,114.0,0.43,0.31,0.07,0.05,0.13,0.0,0.0,http://www.comresglobal.com/wp-content/uploads/2017/06/Independent-Sunday-Mirror_VI-and-political-poll_2nd-June-2017_654412.pdf
Survation,Mail on Sunday,Phone,2017-06-03,2017-06-03,50.0,0.486,0.322,0.11599999999999999,0.0,0.067,,0.008,http://survation.com/wp-content/uploads/2017/06/Final-MoS-Post-BBC-Event-Poll-020617SWCH-1c0d4h9.pdf
Survation,Good Morning Britain,Phone,2017-06-02,2017-06-03,50.0,0.16699999999999998,0.47600000000000003,0.045,0.0,0.312,0.0,0.0,http://survation.com/wp-content/uploads/2017/06/Final-GMB-GE2017-V-Tables-020617TOCH-1c1d0h3-microage.pdf
ICM Online,Guardian,Online,2017-06-02,2017-06-04,87.0,0.33,0.37,0.09,0.03,0.18,0.0,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/06/2017_guardian_poll9_2-4june.pdf
Opinium,,Online,2017-06-04,2017-06-06,104.0,0.36,0.39,0.05,0.08,0.13,0.0,0.0,http://opinium.co.uk/wp-content/uploads/2017/06/VI-04-06-17-Final-Opinium-Poll.xls
YouGov,ITV/Cardiff Uni,Online,2017-06-05,2017-06-07,1074.0,0.34,0.46,0.05,0.05,0.09,0.0,0.01,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wyz7aht5fc/WelshBarometerResults_June2017_FINALCALL_W.pdf
ICM Online,Guardian,Online,2017-06-06,2017-06-07,71.0,0.38,0.54,0.0,0.02,0.06,0.0,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/06/2017_guardian_prediction_PRELIM_1500.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-06-05,2017-06-07,100.0,0.4,0.38,0.05,0.03,0.14,0.0,0.0,http://www.comresglobal.com/wp-content/uploads/2017/06/Independent_FINAL-VI-and-Political-Poll_7th-June-2017_130392.pdf
Panelbase,,Online,2017-06-02,2017-06-07,151.0,0.39,0.37,0.06,0.07,0.11,0.01,0.0,http://www.panelbase.com/media/polls/W10470w7tablesforpublication.pdf
Kantar Public,,Online,2017-06-01,2017-06-07,70.0,0.15,0.4,0.03,0.08,0.11,0.0,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20-%20final%20tables%20-%2031.5.2017.pdf
Survation,,Online,2017-06-06,2017-06-07,414.0,0.22399999999999998,0.36700000000000005,0.031,0.027999999999999997,0.33899999999999997,0.0,0.006999999999999999,http://survation.com/wp-content/uploads/2017/06/Survation-GE2017-Final-Poll-2d7l9l8.pdf
BMG,Herald,Online,2017-06-06,2017-06-07,49.0,0.24,0.49,0.05,0.05,0.16,0.0,0.0,http://www.bmgresearch.co.uk/wp-content/uploads/2017/06/CONFIDENTIAL-BMG-HERALD-POLL-FINAL-GE2017-070617.xlsx
